"jahr","gemnr","gemname","geschl","alter","n","typ"
2025,"70217","St. Leonhard im Pitztal ","männlich","5 bis 9 Jahre",43,"Ländlicher Raum"
2025,"70217","St. Leonhard im Pitztal ","männlich","10 bis 14 Jahre",36,"Ländlicher Raum"
2025,"70217","St. Leonhard im Pitztal ","männlich","15 bis 19 Jahre",37,"Ländlicher Raum"
2025,"70217","St. Leonhard im Pitztal ","männlich","20 bis 24 Jahre",40,"Ländlicher Raum"
2025,"70217","St. Leonhard im Pitztal ","männlich","25 bis 29 Jahre",45,"Ländlicher Raum"
2025,"70217","St. Leonhard im Pitztal ","männlich","30 bis 34 Jahre",47,"Ländlicher Raum"
2025,"70217","St. Leonhard im Pitztal ","männlich","35 bis 39 Jahre",61,"Ländlicher Raum"
2025,"70217","St. Leonhard im Pitztal ","männlich","40 bis 44 Jahre",46,"Ländlicher Raum"
2025,"70217","St. Leonhard im Pitztal ","weiblich","bis 4 Jahre",38,"Ländlicher Raum"
2025,"70217","St. Leonhard im Pitztal ","weiblich","5 bis 9 Jahre",31,"Ländlicher Raum"
